204574,0.020000,0.02954,-0.00464,1.01538,-0.262,-1.666,-0.134,-1.593,0.2533,0.0421
204594,0.020000,0.02905,0.00220,1.01270,0.124,-1.643,-0.126,-1.599,0.1235,-0.2709
204614,0.020000,0.02881,-0.00244,1.01538,-0.138,-1.625,-0.122,-1.599,0.1998,0.0192
204634,0.020000,0.02686,-0.00342,1.01367,-0.193,-1.518,-0.127,-1.596,-0.1513,0.1032
204654,0.020000,0.02539,-0.00195,1.01733,-0.110,-1.430,-0.128,-1.591,-0.0750,0.0650
204674,0.020000,0.02783,-0.00562,1.02124,-0.315,-1.561,-0.133,-1.592,-0.0750,-0.0877
204694,0.020000,0.02881,0.00000,1.01318,0.000,-1.629,-0.131,-1.593,-0.0292,-0.0037
204714,0.020000,0.02759,0.00122,1.02222,0.068,-1.546,-0.129,-1.595,-0.0979,-0.1335
204734,0.020000,0.03271,0.00049,1.01196,0.028,-1.852,-0.123,-1.599,0.1464,0.0421
204754,0.020000,0.02783,-0.00098,1.01782,-0.055,-1.566,-0.122,-1.599,-0.0368,-0.0190
204774,0.020000,0.02783,-0.00562,1.01270,-0.318,-1.574,-0.127,-1.597,-0.0597,0.0726
204794,0.020000,0.02856,-0.00806,1.01709,-0.454,-1.609,-0.136,-1.599,-0.1055,-0.1106
204814,0.020000,0.03223,-0.00293,1.01172,-0.166,-1.824,-0.135,-1.602,0.0777,0.0650
204834,0.020000,0.03003,-0.00024,1.01587,-0.014,-1.693,-0.132,-1.602,0.0166,0.0879
204854,0.020000,0.02930,0.00415,1.01318,0.235,-1.656,-0.123,-1.600,0.0853,0.1719
204874,0.020000,0.02295,-0.00049,1.01611,-0.028,-1.294,-0.129,-1.592,-0.3650,0.1032
204894,0.020000,0.02515,-0.00220,1.01636,-0.124,-1.417,-0.128,-1.589,0.0090,-0.0342
204914,0.020000,0.02905,-0.00269,1.01440,-0.152,-1.641,-0.128,-1.592,0.0472,-0.1106
204934,0.020000,0.02710,-0.00098,1.01489,-0.055,-1.530,-0.126,-1.593,0.0319,-0.1182
